TransactionID,CustomerID,TransactionDate,Amount,Merchant,Location,Currency
1,3,2024-01-29 00:00:00,1808.01,Netflix,UK,USD
2,32,2024-03-05 00:00:00,1347.16,Unknown,XX,SGD
3,5,2024-03-10 00:00:00,1536.55,Grab,SG,MYR
4,7,2024-03-19 00:00:00,910.69,Shopee,XX,SGD
5,7,2024-01-04 00:00:00,1702.65,Unknown,US,GBP
6,29,2024-01-30 00:00:00,1006.22,Amazon,XX,MYR
7,5,2024-01-14 00:00:00,1248.71,Unknown,UK,MYR
8,25,2024-02-18 00:00:00,537.24,Shopee,SG,SGD
9,9,2024-01-08 00:00:00,1165.33,Unknown,US,MYR
10,3,2024-04-13 00:00:00,104.75,Amazon,US,SGD
11,4,2024-03-12 00:00:00,1050.65,Netflix,SG,SGD
12,9,2024-03-17 00:00:00,1249.85,Shopee,MY,SGD
13,16,2024-05-21 00:00:00,252.66,Unknown,UK,MYR
14,24,2024-01-24 00:00:00,719.57,Unknown,MY,MYR
15,8,2024-04-04 00:00:00,432.09,Unknown,UK,USD
16,14,2024-02-04 00:00:00,233.37,Grab,XX,SGD
17,19,2024-05-10 00:00:00,1799.27,Netflix,US,MYR
18,13,2024-02-11 00:00:00,834.24,Grab,US,GBP
19,27,2024-01-06 00:00:00,678.97,Unknown,SG,SGD
20,2,2024-02-22 00:00:00,1883.39,Shopee,MY,USD
21,37,2024-02-16 00:00:00,119.89,Unknown,UK,MYR
22,31,2024-04-10 00:00:00,1076.63,Grab,SG,MYR
23,35,2024-04-16 00:00:00,237.79,Lazada,XX,USD
24,29,2024-05-05 00:00:00,1468.5,Amazon,XX,MYR
25,17,2024-03-15 00:00:00,899.58,Unknown,SG,SGD
26,12,2024-03-08 00:00:00,984.49,Lazada,XX,SGD
27,38,2024-03-15 00:00:00,561.2,Unknown,UK,GBP
28,30,2024-03-12 00:00:00,1962.72,Netflix,US,GBP
29,25,2024-04-21 00:00:00,1550.28,Grab,US,GBP
30,22,2024-03-12 00:00:00,1984.02,Unknown,UK,SGD
31,18,2024-01-18 00:00:00,803.65,Lazada,UK,USD
32,14,2024-04-27 00:00:00,1211.18,Shopee,MY,GBP
33,2,2024-03-26 00:00:00,99999.0,Shopee,US,MYR
34,33,2024-03-16 00:00:00,1015.94,Lazada,SG,USD
35,32,2024-05-21 00:00:00,217.95,Netflix,UK,SGD
36,29,2024-01-24 00:00:00,1168.91,Unknown,UK,SGD
37,34,2024-02-23 00:00:00,1875.37,Grab,UK,GBP
38,19,2024-05-15 00:00:00,1780.02,Shopee,MY,GBP
39,7,2024-02-04 00:00:00,750.93,Lazada,XX,MYR
40,33,2024-05-08 00:00:00,1972.43,Netflix,US,GBP
41,13,2024-03-12 00:00:00,491.97,Shopee,MY,MYR
42,33,2024-01-23 00:00:00,1778.96,Shopee,MY,GBP
43,10,2024-02-20 00:00:00,1227.85,Amazon,SG,MYR
44,27,2024-03-18 00:00:00,1805.29,Grab,US,MYR
45,23,2024-03-08 00:00:00,634.39,Unknown,UK,USD
46,27,2024-05-20 00:00:00,1049.85,Unknown,MY,USD
47,29,2024-02-26 00:00:00,1581.32,Amazon,UK,USD
48,17,2024-03-25 00:00:00,1620.17,Shopee,SG,GBP
49,39,2024-02-19 00:00:00,612.56,Unknown,XX,USD
50,7,2024-04-20 00:00:00,981.94,Shopee,US,USD
51,37,2024-02-21 00:00:00,915.7,Shopee,XX,USD
52,9,2024-05-28 00:00:00,1228.57,Shopee,UK,USD
53,19,2024-03-23 00:00:00,1493.1,Unknown,UK,MYR
54,37,2024-03-13 00:00:00,1017.62,Shopee,US,MYR
55,12,2024-01-29 00:00:00,890.99,Grab,MY,MYR
56,7,2024-01-14 00:00:00,1952.14,Lazada,UK,SGD
57,13,2024-02-24 00:00:00,1643.52,Netflix,MY,USD
58,29,2024-05-30 00:00:00,1266.88,Amazon,MY,GBP
59,7,2024-04-18 00:00:00,63.74,Unknown,XX,USD
60,19,2024-01-25 00:00:00,214.7,Shopee,XX,MYR
61,37,2024-03-08 00:00:00,1951.7,Shopee,UK,MYR
62,35,2024-01-13 00:00:00,1943.36,Netflix,XX,MYR
63,27,2024-04-18 00:00:00,214.29,Amazon,UK,MYR
64,32,2024-02-24 00:00:00,1259.81,Grab,SG,GBP
65,9,2024-03-13 00:00:00,1493.81,Lazada,UK,GBP
66,3,2024-04-10 00:00:00,1605.87,Lazada,MY,MYR
67,8,2024-01-11 00:00:00,160.91,Shopee,MY,MYR
68,7,2024-05-01 00:00:00,163.51,Netflix,UK,SGD
69,1,2024-04-13 00:00:00,1103.5,Amazon,XX,GBP
70,22,2024-04-15 00:00:00,151.8,Grab,MY,USD
